S.no,Description,Question,Answer
222,"Nita Ambani owner of Mumbai and Akash Ambani owner of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ owner of Mumbai and Akash Ambani owner of Mumbai,Nita Ambani
223,"Akash Ambani owner of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ owner of Mumbai,Akash Ambani
224,"Ambati Rayudu of CSK bats during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK bats during a match,Ambati Rayudu
225,"Jasprit Bumrah of Mumbai celebrates the wicket of Ambati Rayudu of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Ambati Rayudu of CSK,Jasprit Bumrah
226,"Rahul Chahar of Mumbai celebrates the wicket of Suresh Raina of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Suresh Raina of CSK,Rahul Chahar
227,"Mumbai players celebrate the wicket of Ambati Rayudu of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ players celebrate the wicket of Ambati Rayudu of CSK,Mumbai Indians
228,"Jasprit Bumrah of Mumbai celebrates the wicket of Ambati Rayudu of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Ambati Rayudu of CSK,Jasprit Bumrah
229,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
230,"Rahul Chahar of Mumbai celebrates the wicket of Suresh Raina of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Suresh Raina of CSK,Rahul Chahar
231,"Rahul Chahar of Mumbai celebrates the wicket of Suresh Raina of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Suresh Raina of CSK,Rahul Chahar
232,"Rahul Chahar of Mumbai celebrates the wicket of Suresh Raina of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Suresh Raina of CSK,Rahul Chahar
233,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
234,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
235,"Lasith Malinga of Mumbai drops the catch of Shane Watson of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai drops the catch of Shane Watson of CSK,Lasith Malinga
236,"Rahul Chahar of Mumbai celebrates the wicket of Suresh Raina of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Suresh Raina of CSK,Rahul Chahar
237,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
238,"Rohit Sharma captain of Mumbai speaks with Suresh Raina of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ captain of Mumbai speaks with Suresh Raina of CSK,Rohit Sharma
239,"Rohit Sharma captain of Mumbai talks with Suresh Raina of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ captain of Mumbai talks with Suresh Raina of CSK,Rohit Sharma
240,"Mitchell McCleneghan of Mumbai unsuccessful appeals during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai unsuccessfully appeals,Mitchell McCleneghan
241,"Mitchell McCleneghan of Mumbai bowling during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai bowling,Mitchell McCleneghan
242,"Suresh Raina of CSK wait for DRS review after he given out during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK waits for DRS review after given out,Suresh Raina
243,"Mitchell McCleneghan of Mumbai unsuccessfully appeals for the wicket of Suresh Raina of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai unsuccessfully appeals for the wicket of Suresh Raina of CSK,Mitchell McCleneghan
244,"Krunal Pandya of Mumbai celebrates the wicket of Faf du Plessis of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Faf du Plessis of CSK,Krunal Pandya
245,"Fans enjoy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ enjoy,Fans
246,"Fans enjoy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ enjoy,Fans
247,"Mumbai Cheer Girls during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ cheer leaders in a jolly mood.,Mumbai Indians
248,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
249,"Jasprit Bumrah of Mumbai bowls during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai bowls,Jasprit Bumrah
250,"Krunal Pandya of Mumbai celebrates the wicket of Faf du Plessis of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Faf du Plessis of CSK,Krunal Pandya
251,"Krunal Pandya of Mumbai celebrates the wicket of Faf du Plessis of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Faf du Plessis of CSK,Krunal Pandya
252,"Krunal Pandya of Mumbai celebrates the wicket of Faf du Plessis of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Faf du Plessis of CSK,Krunal Pandya
253,"Faf du Plessis of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Faf du Plessis
254,"Quinton de Kock of Mumbai stumps Faf du Plessis of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai stumps Faf du Plessis of CSK,Quinton de Kock
255,"Faf du Plessis of CSK stumped by Quinton de Kock of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK stumped by Quinton de Kock of Mumbai,Faf du Plessis
256,"Lasith Malinga of Mumbai in action during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai in action,Lasith Malinga
257,"Kieron Pollard of Mumbai reacts during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai reacts,Kieron Pollard
258,"Shane Watson of CSK bats during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK bats,Shane Watson
259,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
260,"Faf du Plessis of CSK opening batsman during the second innings of the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK opening the batting.,Faf du Plessis
261,"Mitchell McCleneghan of Mumbai bowls during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai bowls,Mitchell McCleneghan
262,"Mitchell McCleneghan of Mumbai bowls during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai bowls,Mitchell McCleneghan
263,"Faf du Plessis of CSK and Shane Watson of CSK opening batsman during the second innings of the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ & Shane Watson of CSK open batting for CSK,Faf
264,"Faf du Plessis of CSK and Shane Watson of CSK opening batsman during the second innings of the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ & Shane Watson of CSK open batting for CSK,Faf
265,"Dwayne Bravo of CSK appeals for the runout of /Mitchell McCleneghan of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK appeals for the runout of Mitchell McCleneghan,Dwayne Bravo
266,"Mitchell McCleneghan of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai trying to hit a shot.,Mitchell McCleneghan
267,"Kieron Pollard of Mumbai plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai plays a shot,Kieron Pollard
268,"Umpires speak with Kieron Pollard of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ speak with Kieron Pollard of Mumbai,Umpires
269,"Dwayne Bravo of CSK run outs Mitchell McCleneghan of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK run outs Mitchell McCleneghan of Mumbai,Dwayne Bravo
270,"Deepak Chahar of CSK celebrates the wicket of Hardik Pandya of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK celebrates the wicket of Hardik Pandya of Mumbai,Deepak Chahar
271,"Deepak Chahar of CSK celebrates the wicket of Hardik Pandya of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK celebrates the wicket of Hardik Pandya of Mumbai,Deepak Chahar
272,"Deepak Chahar of CSK celebrates the wicket of Hardik Pandya of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK celebrates the wicket of Hardik Pandya of Mumbai,Deepak Chahar
273,"Deepak Chahar of CSK celebrates the wicket of Hardik Pandya of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK celebrates the wicket of Hardik Pandya of Mumbai,Deepak Chahar
274,"Hardik Pandya of Mumbai plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai plays a shot,Hardik Pandya
275,"Deepak Chahar of CSK celebrates the wicket of Hardik Pandya of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK celebrates the wicket of Hardik Pandya of Mumbai,Deepak Chahar
276,"Hardik Pandya of Mumbai bats during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai bats,Hardik Pandya
277,"Deepak Chahar of CSK celebrates the wicket of Hardik Pandya of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK celebrates the wicket of Hardik Pandya of Mumbai,Deepak Chahar
278,"Deepak Chahar of CSK celebrates the wicket of Hardik Pandya of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK celebrates the wicket of Hardik Pandya of Mumbai,Deepak Chahar
279,"Kieron Pollard of Mumbai and Kieron Pollard of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai and ___________ of Mumbai,Kieron Pollard
280,"Hardik Pandya of Mumbai plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai plays a shot,Hardik Pandya
281,"Kieron Pollard of Mumbai plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai plays a shot,Kieron Pollard
282,"Ravindra Jadeja of CSK reacts after Kieron Pollard of Mumbai catch was dropped during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK reacts after Kieron Pollard of Mumbai was dropped,Ravindra Jadeja
283,"Kieron Pollard of Mumbai plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai plays a shot,Kieron Pollard
284,"Kieron Pollard of Mumbai plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai plays a shot,Kieron Pollard
285,"Kieron Pollard of Mumbai plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai plays a shot,Kieron Pollard
